Subject,Detection,Start,End,Duration,Justification
S3,17,1005,1017,13,Showing Emotions
S3,18,1105,1109,5,Eye Contact
S3,19,1180,1189,10,Eye Contact
S3,20,1218,1223,6,Eye Contact
S3,21,1287,1298,12,Eye Contact
S3,22,1329,1343,15,Eye Contact
S3,23,1380,1389,10,Eye Contact
S3,24,1472,1490,19,Eye Contact
S3,25,1524,1531,8,Eye Contact
S3,26,1628,1633,6,Eye Contact
S3,27,1735,1762,28,Eye Contact
S3,28,1799,1810,12,Eye Contact
S3,29,1838,1861,24,Eye Contact
S3,30,1888,1899,12,Eye Contact
S3,31,1924,1938,15,Eye Contact
S3,32,1959,1969,11,Eye Contact
S3,33,2002,2049,48,Eye Contact
S3,34,2077,2111,35,Eye Contact
S3,35,2148,2157,10,Eye Contact
S3,36,2247,2258,12,Sudden Eye Change
S3,37,2293,2301,9,Eye Contact
S3,38,2338,2344,7,Eye Contact
S3,39,2395,2406,12,Sudden Eye Change
S3,40,2485,2496,12,Sudden Eye Change
S3,41,2515,2555,41,Eye Contact
S3,42,2589,2636,48,Eye Contact
S3,43,2667,2674,8,Eye Contact
S3,44,2720,2731,12,Sudden Eye Change
S3,45,2770,2786,17,Sudden Eye Change
S3,46,2810,2839,30,Eye Contact
S3,47,2863,2869,7,Eye Contact
S3,48,2897,2908,12,Not Looking
S3,49,2927,2943,17,Eye Contact
S3,50,2970,2987,18,Eye Contact
S3,51,3016,3027,12,Eye Contact
S3,52,3103,3150,48,Eye Contact
S3,53,3191,3249,59,Eye Contact
S3,54,3269,3316,48,Eye Contact
S3,55,3392,3403,12,Eye Contact
S3,56,3480,3503,24,Sudden Eye Change
S3,57,3530,3542,13,Eye Contact
S3,58,3569,3593,25,Eye Contact
S3,59,3620,3645,26,Eye Contact
S3,60,3685,3701,17,Eye Contact
S3,61,3725,3736,12,Eye Contact
S3,62,3765,3776,12,Sudden Eye Change
S3,63,3801,3815,15,Eye Contact
S3,64,3898,3911,14,Eye Contact
S3,65,3990,4001,12,Sudden Eye Change
S3,66,4060,4071,12,Sudden Eye Change
S3,67,4105,4137,33,Eye Contact
S3,68,4172,4183,12,Sudden Eye Change
S3,69,4225,4245,21,Eye Contact
S3,70,4271,4350,80,Not Looking
S4,1,14,54,41,Smiling
S4,2,83,100,18,Eye Contact
S4,3,127,259,133,Eye Contact
S4,4,284,360,77,Eye Contact
S4,5,394,409,16,Eye Contact
S4,6,546,557,12,Eye Contact
S4,7,575,599,25,Not Looking
S4,8,691,724,34,Smiling
S4,9,759,779,21,Eye Contact
S4,10,836,854,19,Eye Contact
S4,11,912,927,16,Eye Contact
S4,12,999,1013,15,Eye Contact
S4,13,1118,1129,12,Eye Contact
S4,14,1160,1192,33,Smiling
S4,15,1469,1481,13,Eye Contact
S4,16,1541,1564,24,Smiling
S4,17,1593,1621,29,Eye Contact
S4,18,1831,1860,30,Eye Contact
S4,19,1920,1955,36,Eye Contact
S4,20,2043,2054,12,Sudden Eye Change
S4,21,2112,2150,39,Eye Contact
S4,22,2179,2214,36,Eye Contact
S4,23,2346,2380,35,Eye Contact
S4,24,2438,2448,11,Eye Contact
S4,25,2539,2565,27,Eye Contact
S4,26,2610,2635,26,Eye Contact
S4,27,2682,2714,33,Eye Contact
S4,28,2824,2835,12,Eye Contact
S4,29,2898,2912,15,Eye Contact
S4,30,2964,2998,35,Eye Contact
S4,31,3095,3119,25,Eye Contact
S4,32,3178,3192,15,Eye Contact
S4,33,3244,3262,19,Eye Contact
S4,34,3319,3329,11,Not Looking
S4,35,3536,3549,14,Eye Contact
S4,36,3653,3690,38,Eye Contact
S4,37,3707,3730,24,Eye Contact
S4,38,3764,3796,33,Smiling
S4,39,3822,3911,90,Smiling
