Folder,Image,CDF,MaxCDF,MeanCDF,Onset,Offset,Detected,Status,,
EP08_05,img65.jpg,4.209413903,4.209413903,4.209413903,6,71,65,TRUE,,
EP09_05f,img321.jpg,41.95936551,41.95936551,12.74441804,69,123,321,FALSE,,
EP12_06,img65.jpg,0,0,0,46,121,65,FALSE,,
EP13_04f,img65.jpg,18.34403608,18.34403608,18.34403608,36,111,65,TRUE,,
EP16_03f,img97.jpg,29.1691117,29.1691117,16.15857773,39,138,97,TRUE,,
EP16_04f,img65.jpg,47.28792979,47.28792979,14.09057907,141,181,65,FALSE,,
EP19_03,img65.jpg,0,0,0,6,58,65,FALSE,,
EP01_01,img161.jpg,89.50375863,89.50375863,22.37593966,81,136,161,FALSE,,
EP02_31,img193.jpg,31.31179559,31.31179559,11.81949854,99,148,193,FALSE,,
EP10_08,img161.jpg,23.65058067,23.65058067,3.61867553,116,161,161,TRUE,,
EP15_02,img65.jpg,0,0,0,56,106,65,FALSE,,
EP16_05,img161.jpg,40.07156796,40.07156796,18.58104518,94,151,161,FALSE,,
EP01_01,img97.jpg,85.09637515,85.09637515,21.27409379,79,156,97,TRUE,,
EP06_02_02,img65.jpg,59.67408801,59.67408801,59.67408801,36,91,65,TRUE,,
EP08_02,img129.jpg,24.55066576,24.55066576,4.910133153,141,191,129,FALSE,,
EP15_01,img97.jpg,34.71359575,34.71359575,15.78722949,36,91,97,FALSE,,
EP18_01,img65.jpg,33.99258648,33.99258648,33.99258648,6,51,65,FALSE,,
EP18_03,img97.jpg,49.04701779,49.04701779,25.64912278,11,96,97,FALSE,,
EP12_07f,img97.jpg,28.56163228,28.56163228,12.42502054,26,118,97,TRUE,,
EP12_08f,img97.jpg,24.45362349,24.45362349,11.18010038,71,170,97,TRUE,,
EP13_01f,img289.jpg,62.3559922,62.3559922,13.65077093,49,126,289,FALSE,,
EP05_02,img129.jpg,32.32918829,32.32918829,10.16969061,66,196,129,TRUE,,
EP05_03,img65.jpg,30.76491222,30.76491222,10.43954593,91,156,65,FALSE,,
EP05_05,img97.jpg,3.38800379,3.38800379,1.694001895,46,96,97,FALSE,,
EP06_01f,img65.jpg,47.20966527,47.20966527,11.84101941,66,186,65,FALSE,,
EP06_02f,img129.jpg,40.33135225,40.33135225,13.44378408,36,131,129,TRUE,,
EP09_04,img65.jpg,46.49722126,46.49722126,16.0381792,26,146,65,TRUE,,
EP09_05,img65.jpg,0,0,0,26,111,65,FALSE,,
EP13_01,img97.jpg,34.65058469,34.65058469,32.22207637,31,121,97,TRUE,,
EP13_02,img97.jpg,36.11252529,36.11252529,12.48036507,71,131,97,TRUE,,
EP15_05,img65.jpg,28.87053685,28.87053685,12.73049045,56,111,65,TRUE,,
EP17_08,img65.jpg,1.075218641,1.075218641,1.075218641,6,76,65,TRUE,,
EP06_01f,img65.jpg,0,0,0,11,101,65,FALSE,,
EP08_01f,img65.jpg,26.57348829,26.57348829,15.94874343,76,141,65,FALSE,,
EP10_01f,img97.jpg,8.569477142,8.569477142,2.856492381,111,171,97,FALSE,,
EP11_01,img65.jpg,34.20189255,34.20189255,34.20189255,31,101,65,TRUE,,
EP12_04,img65.jpg,14.90967415,14.90967415,14.90967415,61,146,65,TRUE,,
EP13_02f,img65.jpg,1.845905775,1.845905775,1.845905775,41,131,65,TRUE,,
EP13_03f,img65.jpg,20.66293082,20.66293082,20.66293082,11,76,65,TRUE,,
EP16_02f,img65.jpg,0,0,0,21,110,65,FALSE,,
EP19_04f,img65.jpg,0,0,0,81,126,65,FALSE,,
EP02_06f,img65.jpg,17.86084928,17.86084928,17.86084928,71,116,65,FALSE,,
EP08_01f,img65.jpg,0,0,0,96,146,65,FALSE,,
EP12_03f,img129.jpg,31.29614991,31.29614991,6.91001668,91,185,129,TRUE,,
EP13_02f,img65.jpg,5.394063493,5.394063493,5.394063493,51,141,65,TRUE,,
EP13_03f,img65.jpg,63.70209914,63.70209914,31.85104957,6,81,65,TRUE,,
EP13_05f,img65.jpg,0,0,0,16,111,65,FALSE,,
EP15_01f,img65.jpg,8.067575557,8.067575557,2.689191852,56,111,65,TRUE,,
EP15_04f,img65.jpg,3.751254189,3.751254189,1.875627094,61,96,65,TRUE,,
EP18_03f,img225.jpg,54.57956925,54.57956925,12.56136555,56,131,225,FALSE,,
EP19_03f,img97.jpg,32.69619886,32.69619886,10.89873295,11,151,97,TRUE,,
EP01_02,img65.jpg,37.53720772,37.53720772,11.28707615,31,106,65,TRUE,,
EP02_05,img193.jpg,22.76707419,22.76707419,8.944069268,41,140,193,FALSE,,
EP03_02,img65.jpg,31.07783125,31.07783125,31.07783125,26,91,65,TRUE,,
EP03_04,img97.jpg,30.04289702,30.04289702,13.96208518,60,156,97,TRUE,,
EP04_16,img65.jpg,38.74155651,38.74155651,11.96801789,36,135,65,TRUE,,
EP06_06,img65.jpg,37.29181602,37.29181602,23.95162323,36,111,65,TRUE,,
EP08_01,img97.jpg,42.76661736,42.76661736,10.69165434,46,106,97,TRUE,,
EP08_03,img257.jpg,64.09956904,64.09956904,13.11989047,76,156,257,FALSE,,
EP08_07,img161.jpg,35.44231763,35.44231763,8.812639374,111,186,161,TRUE,,
EP09_02,img65.jpg,5.513066056,5.513066056,1.837688685,16,101,65,TRUE,,
EP09_06,img97.jpg,44.87252217,44.87252217,16.08341506,66,111,97,TRUE,,
EP16_02,img97.jpg,70.34817098,70.34817098,19.1334425,136,226,97,FALSE,,
EP01_01,img65.jpg,24.23363636,24.23363636,8.247350201,76,131,65,FALSE,,
EP01_02,img65.jpg,64.63741507,64.63741507,64.63741507,76,116,65,FALSE,,
EP03_01,img65.jpg,0,0,0,31,111,65,FALSE,,
EP08_01,img65.jpg,5.387503373,5.387503373,4.670638127,54,106,65,TRUE,,
EP09_10,img65.jpg,38.62990871,38.62990871,19.27895303,51,126,65,TRUE,,
EP09_04,img65.jpg,25.57287341,25.57287341,25.57287341,21,106,65,TRUE,,
EP04_02,img97.jpg,56.60745841,56.60745841,28.3037292,21,111,97,TRUE,,
EP01_05,img65.jpg,0,0,0,66,156,65,FALSE,,
EP01_08,img65.jpg,6.262998159,6.262998159,2.571219202,73,110,65,FALSE,,
EP01_09f,img65.jpg,59.85973688,59.85973688,26.41457995,51,163,65,TRUE,,
EP04_02f,img289.jpg,66.03996031,66.03996031,10.36606322,181,271,289,FALSE,,
EP01_06,img97.jpg,43.57201989,43.57201989,14.74114217,81,121,97,TRUE,,
EP01_13,img161.jpg,28.65333936,28.65333936,11.38346275,76,166,161,TRUE,,
EP01_15,img129.jpg,54.86249362,54.86249362,23.68341164,86,126,129,FALSE,,
EP02_01,img129.jpg,33.31538292,33.31538292,15.88869035,91,136,129,TRUE,,
EP02_03,img225.jpg,80.55596638,80.55596638,19.86105554,81,131,225,FALSE,,
EP02_11,img97.jpg,54.05595023,54.05595023,12.44732979,161,210,97,FALSE,,
EP02_18f,img193.jpg,26.79149095,26.79149095,6.101363448,91,181,193,FALSE,,
EP03_02,img225.jpg,66.37892178,66.37892178,12.54872527,118,161,225,FALSE,,
EP03_09,img65.jpg,34.74188822,34.74188822,12.53847071,96,161,65,FALSE,,
EP05_02,img65.jpg,0,0,0,25,121,65,FALSE,,
EP05_09,img193.jpg,32.39552836,32.39552836,11.09323283,121,196,193,TRUE,,
EP05_10,img97.jpg,26.95930119,26.95930119,12.69913371,111,151,97,FALSE,,
EP06_04,img65.jpg,0,0,0,71,161,65,FALSE,,
EP06_07,img193.jpg,32.78608657,32.78608657,9.697668361,216,246,193,FALSE,,
EP06_08,img193.jpg,31.35661584,31.35661584,10.89580493,156,231,193,TRUE,,
EP07_01,img65.jpg,0,0,0,21,115,65,FALSE,,
EP08_02,img65.jpg,31.30107569,31.30107569,31.30107569,21,88,65,TRUE,,
EP08_03,img65.jpg,79.71367821,79.71367821,79.71367821,51,84,65,TRUE,,
EP10_06,img97.jpg,57.00187507,57.00187507,21.65011034,104,161,97,FALSE,,
EP11_02,img65.jpg,54.62089959,54.62089959,23.6735625,36,121,65,TRUE,,
EP12_03,img129.jpg,37.89552404,37.89552404,11.19111766,131,184,129,FALSE,,
EP13_01,img193.jpg,58.57876279,58.57876279,16.75403635,146,191,193,FALSE,,
EP13_03,img97.jpg,29.80773459,29.80773459,7.582156531,51,136,97,TRUE,,
EP13_04,img65.jpg,23.52484372,23.52484372,11.76242186,86,121,65,FALSE,,
EP13_06,img193.jpg,29.5591622,29.5591622,12.51623672,86,131,193,FALSE,,
EP13_09,img129.jpg,13.84196162,13.84196162,5.008168583,6,101,129,FALSE,,
EP15_01,img257.jpg,37.96683131,37.96683131,10.98014385,81,111,257,FALSE,,
EP15_03,img161.jpg,69.96544321,69.96544321,14.46166837,319,356,161,FALSE,,
EP15_04,img129.jpg,33.31610481,33.31610481,11.20476812,109,185,129,TRUE,,
EP18_07,img65.jpg,0,0,0,36,103,65,FALSE,,
EP08_01,img225.jpg,72.07205252,72.07205252,14.70157877,111,147,225,FALSE,,
EP18_01,img193.jpg,41.15347019,41.15347019,10.97738841,66,126,193,FALSE,,
EP19_01,img321.jpg,29.26387273,29.26387273,6.078904121,95,140,321,FALSE,,
EP01_01f,img129.jpg,35.19432215,35.19432215,11.47783996,121,220,129,TRUE,,
EP01_02f,img97.jpg,26.16517518,26.16517518,9.919624943,36,127,97,TRUE,,
EP02_01,img65.jpg,49.50729577,49.50729577,24.75364789,91,151,65,FALSE,,
EP06_01f,img65.jpg,30.40985851,30.40985851,6.283098272,146,201,65,FALSE,,
EP06_02f,img257.jpg,38.77736312,38.77736312,6.98312283,211,291,257,TRUE,,
EP08_02,img129.jpg,61.02233815,61.02233815,13.56071464,76,155,129,TRUE,,
EP11_01f,img65.jpg,0,0,0,61,116,65,FALSE,,
EP11_04f,img257.jpg,41.45326687,41.45326687,9.837880408,76,131,257,FALSE,,
EP13_01,img97.jpg,19.39145974,19.39145974,7.009577253,71,156,97,TRUE,,
EP15_03f,img65.jpg,0,0,0,51,101,65,FALSE,,
EP16_01,img97.jpg,25.51512832,25.51512832,8.634902726,86,136,97,TRUE,,
EP16_02,img193.jpg,16.48577193,16.48577193,4.712463841,61,101,193,FALSE,,
EP19_01,img193.jpg,21.25889263,21.25889263,8.312144668,66,101,193,FALSE,,
EP19_02,img97.jpg,50.84271527,50.84271527,12.45446755,106,151,97,FALSE,,
EP19_03,img65.jpg,15.37307427,15.37307427,7.716465735,61,116,65,TRUE,,
EP19_04,img97.jpg,29.65981261,29.65981261,20.87152239,46,86,97,FALSE,,
EP01_03,img129.jpg,35.12133623,35.12133623,8.824393916,76,126,129,FALSE,,
EP03_02,img65.jpg,5.144702683,5.144702683,2.039266723,45,111,65,TRUE,,
EP06_03,img97.jpg,50.6404899,50.6404899,25.32024495,31,61,97,FALSE,,
EP07_04,img65.jpg,74.82033493,74.82033493,15.00951852,96,151,65,FALSE,,
EP10_02,img129.jpg,28.71460381,28.71460381,8.451997302,131,216,129,FALSE,,
EP12_01,img97.jpg,41.3169668,41.3169668,16.90139384,41,106,97,TRUE,,
EP13_02,img257.jpg,40.56375576,40.56375576,9.244372544,71,121,257,FALSE,,
EP15_03f,img705.jpg,54.73414197,54.73414197,11.89993422,86,181,705,FALSE,,
EP16_01,img129.jpg,45.18609861,45.18609861,8.887334975,71,111,129,FALSE,,
EP16_04,img65.jpg,39.51159024,39.51159024,18.13541676,81,121,65,FALSE,,
EP18_03,img97.jpg,35.25832192,35.25832192,10.72171026,48,126,97,TRUE,,
EP05_02,img193.jpg,29.79213717,29.79213717,8.45949967,111,206,193,TRUE,,
EP01_12,img225.jpg,22.49796991,22.49796991,8.691246748,50,146,225,FALSE,,
EP13_08,img417.jpg,32.6296437,32.6296437,13.17615526,151,256,417,FALSE,,
EP02_01,img353.jpg,44.58205068,44.58205068,13.18459879,36,130,353,FALSE,,
EP03_14f,img97.jpg,72.77904588,72.77904588,13.46273405,51,111,97,TRUE,,
EP04_03f,img65.jpg,0,0,0,16,115,65,FALSE,,
EP05_24f,img353.jpg,59.2969082,59.2969082,15.01620773,106,171,353,FALSE,,
EP05_25f,img97.jpg,29.76329157,29.76329157,5.142605617,51,131,97,TRUE,,
EP07_01,img65.jpg,19.60921648,19.60921648,15.30748749,36,96,65,TRUE,,
EP12_02f,img97.jpg,29.76329157,29.76329157,5.142605617,46,130,97,TRUE,,
EP12_03,img65.jpg,33.86927234,33.86927234,12.34397131,86,161,65,FALSE,,
EP13_07f,img65.jpg,2.254965829,2.254965829,2.254965829,56,126,65,TRUE,,
EP17_01,img129.jpg,2.21695458,2.21695458,0.73898486,81,146,129,TRUE,,
EP01_08,img97.jpg,13.32439187,13.32439187,12.47250528,33,131,97,TRUE,,
EP02_02f,img97.jpg,59.39275884,59.39275884,10.24631662,71,106,97,TRUE,,
EP07_04f,img161.jpg,43.353118,43.353118,15.36712432,4,41,161,FALSE,,
EP08_02,img65.jpg,38.13441365,38.13441365,9.315970904,121,181,65,FALSE,,
EP10_01f,img353.jpg,48.12406328,48.12406328,12.101027,131,154,353,FALSE,,
EP10_02,img385.jpg,29.44677704,29.44677704,8.174478161,101,136,385,FALSE,,
EP10_03,img673.jpg,40.72198168,40.72198168,7.883595957,334,376,673,FALSE,,
EP12_01,img65.jpg,56.72283361,56.72283361,14.39779981,81,121,65,FALSE,,
EP18_03,img161.jpg,65.90819806,65.90819806,21.05089232,53,88,161,FALSE,,
EP03_01,img65.jpg,0,0,0,56,116,65,FALSE,,
EP03_02,img97.jpg,39.82938662,39.82938662,19.91469331,51,134,97,TRUE,,
EP09_02,img97.jpg,32.70252104,32.70252104,13.40094651,76,111,97,TRUE,,
EP10_01,img129.jpg,69.05897919,69.05897919,17.49185288,101,176,129,TRUE,,
EP10_10,img65.jpg,19.41453449,19.41453449,9.912004879,61,158,65,TRUE,,
EP12_01,img193.jpg,53.68572312,53.68572312,16.74593459,131,186,193,FALSE,,
EP18_04f,img289.jpg,27.81343004,27.81343004,7.641047388,76,116,289,FALSE,,
EP03_10,img65.jpg,52.84956544,52.84956544,17.71031145,116,201,65,FALSE,,
EP07_28,img65.jpg,19.0435931,19.0435931,19.0435931,31,71,65,TRUE,,
EP07_37,img257.jpg,62.48217749,62.48217749,10.99654479,92,190,257,FALSE,,
EP08_04,img65.jpg,4.889325871,4.889325871,4.889325871,31,89,65,TRUE,,
EP09_04,img65.jpg,13.91413599,13.91413599,4.638045331,31,91,65,TRUE,,
EP09_09,img65.jpg,56.11274322,56.11274322,28.02220185,46,101,65,TRUE,,
EP13_02,img97.jpg,23.02340904,23.02340904,11.51170452,32,116,97,TRUE,,
EP13_11,img129.jpg,43.0723854,43.0723854,14.85800097,20,101,129,FALSE,,
EP18_46,img65.jpg,54.44651031,54.44651031,54.44651031,31,101,65,TRUE,,
EP18_47,img65.jpg,0,0,0,6,86,65,FALSE,,
EP18_49,img129.jpg,27.06519781,27.06519781,12.92344618,16,80,129,FALSE,,
EP18_50,img161.jpg,41.7421154,41.7421154,14.12303557,78,161,161,TRUE,,
,,,,,,,,97,Acc,0.45971564
,,,,,,,,114,,
