Subject,Folder,TrueFrame,FalseFrame,Total
sub17,EP03_02,43,337,380
sub17,EP03_09,65,622,687
sub17,EP05_02,96,57,153
sub17,EP05_03,80,28,108
sub17,EP05_03f,65,50,115
sub17,EP05_04,65,43,108
sub17,EP05_09,75,242,317
sub17,EP05_10,40,199,239
sub17,EP06_04,90,97,187
sub17,EP06_07,30,330,360
sub17,EP06_08,75,285,360
sub17,EP07_01,94,76,170
sub17,EP08_02,67,66,133
sub17,EP08_03,33,119,152
sub17,EP10_06,57,187,244
sub17,EP11_01,44,42,86
sub17,EP11_02,85,173,258
sub17,EP12_03,53,356,409
sub17,EP13_01,45,241,286
sub17,EP13_03,85,169,254
sub17,EP13_04,35,139,174
sub17,EP13_06,45,287,332
sub17,EP13_09,95,159,254
sub17,EP15_01,30,373,403
sub17,EP15_03,37,621,658
sub17,EP15_04,76,125,201
sub17,EP15_05,45,61,106
sub17,EP16_01f,63,24,87
sub17,EP18_07,67,68,135
sub18,EP08_01,36,264,300
sub18,EP18_01,60,373,433
sub18,EP19_01,45,388,433
sub19,EP01_01f,99,286,385
sub19,EP01_02f,91,194,285
sub19,EP02_01,60,108,168
sub19,EP06_01f,55,321,376
sub19,EP06_02f,80,402,482
sub19,EP08_02,79,226,305
sub19,EP11_01f,55,141,196
sub19,EP11_04f,55,409,464
sub19,EP13_01,85,212,297
sub19,EP15_03f,50,94,144
sub19,EP16_01,50,214,264
sub19,EP16_02,40,226,266
sub19,EP19_01,35,235,270
sub19,EP19_02,45,340,385
sub19,EP19_03,55,145,200
sub19,EP19_04,40,123,163
sub20,EP01_03,50,256,306
sub20,EP03_02,66,158,224
sub20,EP06_03,30,143,173
sub20,EP07_04,55,333,388
sub20,EP10_02,85,224,309
sub20,EP12_01,65,174,239
sub20,EP13_02,50,359,409
sub20,EP15_03f,95,929,1024
sub20,EP16_01,40,435,475
sub20,EP16_04,40,211,251
sub20,EP18_03,78,264,342
sub21,EP01_07,30,61,91
sub21,EP05_02,95,196,291
sub22,EP01_12,96,241,337
sub22,EP13_08,105,387,492
sub23,EP02_01,94,345,439
sub23,EP03_14f,60,486,546
sub23,EP04_03f,99,34,133
sub23,EP05_24f,65,629,694
sub23,EP05_25f,80,620,700
sub23,EP07_01,60,107,167
sub23,EP12_02f,84,616,700
sub23,EP12_03,75,216,291
sub23,EP13_03,55,44,99
sub23,EP13_04,65,58,123
sub23,EP13_07f,70,85,155
sub23,EP17_01,65,156,221
sub24,EP01_08,98,93,191
sub24,EP02_02f,35,453,488
sub24,EP07_01,42,77,119
sub24,EP07_04f,37,405,442
sub24,EP08_02,60,554,614
sub24,EP10_01f,23,777,800
sub24,EP10_02,35,479,514
sub24,EP10_03,42,834,876
sub24,EP12_01,40,333,373
sub24,EP18_03,35,286,321
sub25,EP03_01,60,121,181
sub25,EP03_02,83,81,164
sub25,EP09_02,35,197,232
sub25,EP10_01,75,167,242
sub25,EP10_10,97,110,207
sub25,EP12_01,55,309,364
sub25,EP18_04f,40,408,448
sub26,EP03_10,85,258,343
sub26,EP07_28,40,118,158
sub26,EP07_37,98,447,545
sub26,EP08_04,58,96,154
sub26,EP09_04,60,139,199
sub26,EP09_09,55,138,193
sub26,EP13_01,57,17,74
sub26,EP13_02,84,96,180
sub26,EP13_11,81,140,221
sub26,EP15_01,39,88,127
sub26,EP16_01,50,38,88
sub26,EP18_44,60,58,118
sub26,EP18_46,70,64,134
sub26,EP18_47,80,101,181
sub26,EP18_49,64,215,279
sub26,EP18_50,83,156,239
sub26,EP18_51,60,223,283
,,16883,47299,64182
