subject,folder,detection,onset,apex,offset,raw_path
s24,anger1_6,6,1890,1898,1902,24_0401girlcrashing
s24,anger1_7,7,1903,1916,1950,24_0401girlcrashing
s24,anger1_8,8,2181,2187,2193,24_0401girlcrashing
s24,anger1_9,9,2208,2266,2276,24_0401girlcrashing
s24,anger1_10,0,2543,2565,2576,24_0401girlcrashing
s24,anger1_11,1,3411,3424,3440,24_0401girlcrashing
s24,anger1_12,2,3441,3447,3453,24_0401girlcrashing
s24,anger2_1,1,3297,3309,3342,24_0402beatingpregnantwoman
s24,anger2_2,2,3553,3563,3599,24_0402beatingpregnantwoman
s24,disgust1_1,1,1356,1364,1380,24_0101disgustingteeth
s24,disgust1_2,2,1383,1389,1419,24_0101disgustingteeth
s24,happy1_1,1,852,858,869,24_0502funnyerrors
s24,happy1_2,2,1078,1094,1101,24_0502funnyerrors
s24,happy1_3,3,1584,1597,1630,24_0502funnyerrors
s24,happy1_4,4,1863,1875,1889,24_0502funnyerrors
s24,happy4_1,1,832,848,881,24_0507climbingthewall
s24,happy4_2,2,1421,1431,1464,24_0507climbingthewall
s24,happy4_3,3,1648,1658,0,24_0507climbingthewall
s24,happy4_4,4,1664,1682,1703,24_0507climbingthewall
s24,happy4_5,5,1836,1842,1848,24_0507climbingthewall
s24,happy4_6,6,1858,1865,1882,24_0507climbingthewall
s24,happy4_7,7,1951,1957,1965,24_0507climbingthewall
s24,happy4_8,8,2005,2015,2044,24_0507climbingthewall
s24,happy4_9,9,2229,2237,2247,24_0507climbingthewall
s24,happy4_10,0,2691,2697,2746,24_0507climbingthewall
s24,happy4_11,1,3168,3181,3223,24_0507climbingthewall
s24,happy4_12,2,3233,3239,3248,24_0507climbingthewall
s25,disgust1_1,1,113,118,127,25_0101disgustingteeth
s25,disgust2_1,1,470,478,490,25_0102eatingworms
s25,disgust2_2,2,996,1003,1008,25_0102eatingworms
s25,disgust2_3,3,1008,1013,1017,25_0102eatingworms
s25,disgust2_4,4,1018,1024,1034,25_0102eatingworms
s25,happy1_1,1,841,872,913,25_0502funnyerrors
s25,happy1_2,2,945,966,984,25_0502funnyerrors
s25,happy5_1,1,123,140,167,25_0508funnydunkey
s25,happy5_2,2,189,203,0,25_0508funnydunkey
s26,anger1_1,1,575,588,622,26_0401girlcrashing
s26,disgust1_1,1,1014,1017,1040,26_0101disgustingteeth
s26,disgust2_1,1,308,321,345,26_0102eatingworms
s26,disgust2_2,2,428,434,447,26_0102eatingworms
s26,happy2_1,1,408,438,0,26_0503unnyfarting
s26,happy2_2,2,1727,1735,1757,26_0503unnyfarting
s27,anger1_1,1,352,357,365,27_0401girlcrashing
s27,anger1_2,2,369,374,382,27_0401girlcrashing
s27,anger1_3,3,1135,1139,1147,27_0401girlcrashing
s27,anger1_4,4,1152,1162,1177,27_0401girlcrashing
s27,anger1_5,5,1682,1702,1733,27_0401girlcrashing
s27,anger1_6,6,1974,1979,1986,27_0401girlcrashing
s27,anger1_7,7,2158,2168,2182,27_0401girlcrashing
s27,anger1_8,8,2241,2247,2258,27_0401girlcrashing
s27,anger2_1,1,2632,2641,2653,27_0402beatingpregnantwoman
s27,anger2_2,2,3727,3733,3745,27_0402beatingpregnantwoman
s27,disgust1_1,1,417,428,473,27_0101disgustingteeth
s27,disgust1_2,2,874,880,888,27_0101disgustingteeth
s27,disgust1_3,3,890,897,911,27_0101disgustingteeth
s27,disgust1_4,4,1201,1207,1220,27_0101disgustingteeth
s27,disgust1_5,5,1221,1230,1224,27_0101disgustingteeth
s27,disgust1_6,6,1703,1713,1722,27_0101disgustingteeth
s27,disgust2_1,1,34,39,48,27_0102eatingworms
s27,disgust2_2,2,309,314,317,27_0102eatingworms
s27,disgust2_3,3,314,321,332,27_0102eatingworms
s27,disgust2_4,4,374,377,388,27_0102eatingworms
s27,disgust2_5,5,439,444,457,27_0102eatingworms
s27,disgust2_6,6,452,463,509,27_0102eatingworms
s27,disgust2_7,7,553,559,572,27_0102eatingworms
s27,disgust2_8,8,795,804,818,27_0102eatingworms
s27,disgust2_9,9,1053,1061,1074,27_0102eatingworms
s27,happy1_1,1,169,183,251,27_0502funnyerrors
s27,happy1_2,2,329,341,0,27_0502funnyerrors
s27,happy1_3,3,558,569,599,27_0502funnyerrors
s27,happy1_4,4,613,619,628,27_0502funnyerrors
s27,happy1_5,5,1081,1102,1133,27_0502funnyerrors
s27,happy1_6,6,1438,1451,1465,27_0502funnyerrors
s27,happy1_7,7,2187,2203,2219,27_0502funnyerrors
s27,happy2_1,1,359,368,394,27_0503unnyfarting
s27,happy2_2,2,419,423,432,27_0503unnyfarting
s27,happy2_3,3,2225,2234,2271,27_0503unnyfarting
s27,happy3_1,1,1122,1184,1234,27_0505funnyinnovations
s27,happy3_2,2,1758,1779,1813,27_0505funnyinnovations
s27,happy3_3,3,1918,1938,1982,27_0505funnyinnovations
s27,happy4_1,1,901,908,919,27_0507climbingthewall
s27,happy4_2,2,876,883,890,27_0507climbingthewall
s27,happy4_3,3,2677,2682,2702,27_0507climbingthewall
s27,happy4_4,4,3187,3200,3212,27_0507climbingthewall
s27,happy5_1,1,179,200,243,27_0508funnydunkey
s29,happy1_1,1,140,143,152,29_0502funnyerrors
s30,anger1_1,1,395,415,422,30_0401girlcrashing
s30,anger1_2,2,926,933,941,30_0401girlcrashing
s30,anger1_3,3,1581,1601,1622,30_0401girlcrashing
s30,anger1_4,4,2983,2994,3021,30_0401girlcrashing
s30,disgust1_1,1,1455,1460,1466,30_0101disgustingteeth
s30,disgust2_1,1,337,357,385,30_0102eatingworms
s30,disgust2_2,2,761,785,804,30_0102eatingworms
s30,happy1_1,1,167,179,197,30_0502funnyerrors
s30,happy1_2,2,331,347,410,30_0502funnyerrors
s30,happy1_3,3,846,859,895,30_0502funnyerrors
s30,happy1_4,4,1172,1195,0,30_0502funnyerrors
s30,happy1_5,5,1569,1582,1614,30_0502funnyerrors
s30,happy1_6,6,1918,1936,1954,30_0502funnyerrors
s30,happy2_1,1,1419,1438,0,30_0503unnyfarting
s30,happy2_2,2,1547,1562,0,30_0503unnyfarting
s30,happy3_1,1,1141,1166,0,30_0505funnyinnovations
s30,happy3_2,2,2232,2259,2302,30_0505funnyinnovations
s30,happy4_1,1,1680,1691,1698,30_0507climbingthewall
s30,happy4_2,2,3179,3193,0,30_0507climbingthewall
s31,anger1_1,1,515,523,534,31_0401girlcrashing
s31,anger1_2,2,2850,2862,2876,31_0401girlcrashing
s31,anger1_3,3,3337,3351,3383,31_0401girlcrashing
s31,anger2_1,1,863,870,888,31_0402beatingpregnantwoman
s31,anger2_2,2,1689,1694,1702,31_0402beatingpregnantwoman
s31,anger2_3,3,2123,2139,2156,31_0402beatingpregnantwoman
s31,anger2_4,4,2190,2197,2204,31_0402beatingpregnantwoman
s31,anger2_5,5,2205,2213,2226,31_0402beatingpregnantwoman
s31,anger2_6,6,2377,2383,2389,31_0402beatingpregnantwoman
s31,anger2_7,7,2395,2413,2450,31_0402beatingpregnantwoman
s31,anger2_8,8,3277,3296,3351,31_0402beatingpregnantwoman
s31,anger2_9,9,3479,3493,3509,31_0402beatingpregnantwoman
s31,anger2_10,0,3803,3808,3815,31_0402beatingpregnantwoman
s31,disgust1_1,1,382,412,457,31_0101disgustingteeth
s31,disgust1_2,2,555,572,611,31_0101disgustingteeth
s31,disgust1_3,3,726,756,843,31_0101disgustingteeth
s31,disgust1_4,4,836,852,886,31_0101disgustingteeth
s31,disgust1_5,5,1089,1107,1140,31_0101disgustingteeth
s31,disgust1_6,6,1150,1157,1169,31_0101disgustingteeth
s31,disgust1_7,7,1421,1426,1433,31_0101disgustingteeth
s31,disgust1_8,8,1561,1582,1601,31_0101disgustingteeth
s31,disgust1_9,9,1631,1640,0,31_0101disgustingteeth
s31,happy1_1,1,1595,1616,1653,31_0502funnyerrors
s31,happy2_1,1,2169,2203,2202,31_0503unnyfarting
s31,happy3_1,1,1046,1054,1059,31_0505funnyinnovations
s31,happy3_2,2,2242,2253,2279,31_0505funnyinnovations
s31,happy4_1,1,768,775,793,31_0507climbingthewall
s31,happy4_2,2,834,841,857,31_0507climbingthewall
s31,happy4_3,3,1500,1520,0,31_0507climbingthewall
s31,happy4_4,4,1565,1580,1586,31_0507climbingthewall
s31,happy4_5,5,2247,2268,0,31_0507climbingthewall
s31,happy4_6,6,3114,3125,3144,31_0507climbingthewall
s32,anger1_1,1,268,272,278,32_0401girlcrashing
s32,anger1_2,2,302,314,322,32_0401girlcrashing
s32,anger1_3,3,344,348,360,32_0401girlcrashing
s32,anger1_4,4,406,416,439,32_0401girlcrashing
s32,anger1_5,5,562,587,609,32_0401girlcrashing
s32,anger1_6,6,874,886,897,32_0401girlcrashing
s32,anger1_7,7,1310,1331,1363,32_0401girlcrashing
s32,anger1_8,8,1518,1529,1560,32_0401girlcrashing
s32,anger1_9,9,1650,1660,1674,32_0401girlcrashing
s32,anger1_10,0,1692,1716,1742,32_0401girlcrashing
s32,anger1_11,1,2249,2277,2335,32_0401girlcrashing
s32,anger1_12,2,2407,2455,2451,32_0401girlcrashing
s32,anger1_13,3,2796,2811,2845,32_0401girlcrashing
s32,anger1_14,4,2912,2918,2961,32_0401girlcrashing
s32,anger1_15,5,3173,3180,3197,32_0401girlcrashing
s32,anger2_1,1,1531,1538,1550,32_0402beatingpregnantwoman
s32,anger2_2,2,2270,2281,2295,32_0402beatingpregnantwoman
s32,anger2_3,3,2774,2783,2802,32_0402beatingpregnantwoman
s32,anger2_4,4,3200,3210,0,32_0402beatingpregnantwoman
s32,anger2_5,5,3396,3405,3426,32_0402beatingpregnantwoman
s32,anger2_6,6,3745,3772,3807,32_0402beatingpregnantwoman
s32,anger2_7,7,3999,4031,4073,32_0402beatingpregnantwoman
s32,disgust1_1,1,885,898,919,32_0101disgustingteeth
s32,disgust1_2,2,1234,1244,1250,32_0101disgustingteeth
s32,disgust2_1,1,780,789,802,32_0102eatingworms
s32,happy1_1,1,139,152,194,32_0502funnyerrors
s32,happy1_2,2,311,320,324,32_0502funnyerrors
s32,happy1_3,3,325,330,345,32_0502funnyerrors
s32,happy1_4,4,404,410,0,32_0502funnyerrors
s32,happy1_5,5,858,873,909,32_0502funnyerrors
s32,happy1_6,6,1171,1175,1184,32_0502funnyerrors
s32,happy1_7,7,1570,1590,1609,32_0502funnyerrors
s32,happy1_8,8,2203,2218,2229,32_0502funnyerrors
s32,happy2_1,1,258,264,272,32_0503unnyfarting
s32,happy2_2,2,258,279,319,32_0503unnyfarting
s32,happy2_3,3,349,363,416,32_0503unnyfarting
s32,happy2_4,4,656,666,716,32_0503unnyfarting
s32,happy2_5,5,729,739,755,32_0503unnyfarting
s32,happy2_6,6,748,777,820,32_0503unnyfarting
s32,happy2_7,7,1031,1037,1044,32_0503unnyfarting
s32,happy2_8,8,1082,1105,1143,32_0503unnyfarting
s32,happy2_9,9,1552,1567,1586,32_0503unnyfarting
s32,happy2_10,0,1559,1579,1611,32_0503unnyfarting
s32,happy2_11,1,1751,1764,1780,32_0503unnyfarting
s32,happy2_12,2,2077,2092,2132,32_0503unnyfarting
s32,happy2_13,3,2454,2465,2500,32_0503unnyfarting
s32,happy2_14,4,2663,2683,2728,32_0503unnyfarting
s32,happy3_1,1,1362,1374,1380,32_0505funnyinnovations
s32,happy3_2,2,1382,1391,1405,32_0505funnyinnovations
s32,happy3_3,3,1709,1726,1750,32_0505funnyinnovations
s32,happy3_4,4,2212,2234,2272,32_0505funnyinnovations
s32,happy4_1,1,1646,1671,1743,32_0507climbingthewall
s32,happy4_2,2,2332,2338,2348,32_0507climbingthewall
s32,happy5_1,1,286,291,301,32_0508funnydunkey
s33,anger2_1,1,3682,3689,3699,33_0402beatingpregnantwoman
s33,anger2_2,2,4328,4343,4356,33_0402beatingpregnantwoman
s33,disgust2_1,1,56,66,76,33_0102eatingworms
s33,disgust2_2,2,108,117,130,33_0102eatingworms
s34,anger1_1,1,1763,0,1787,34_0401girlcrashing
s34,anger2_1,1,2170,2185,0,34_0402beatingpregnantwoman
s34,happy2_1,1,990,1015,1042,34_0503unnyfarting
s35,disgust2_1,1,100,106,113,35_0102eatingworms
s35,disgust2_2,2,363,367,371,35_0102eatingworms
s36,anger1_1,1,106,130,145,36_0401girlcrashing
s36,happy3_1,1,348,373,0,36_0505funnyinnovations
s36,happy3_2,2,566,582,0,36_0505funnyinnovations
s36,happy3_3,3,1074,1087,1095,36_0505funnyinnovations
s37,anger2_1,1,2783,2794,2810,37_0402beatingpregnantwoman
s37,anger2_2,2,3045,3056,3066,37_0402beatingpregnantwoman
s37,anger2_3,3,3176,3189,3200,37_0402beatingpregnantwoman
s37,anger2_4,4,3397,3405,3413,37_0402beatingpregnantwoman
s37,anger2_5,5,3502,3508,3514,37_0402beatingpregnantwoman
s37,disgust1_1,1,1289,1296,1310,37_0101disgustingteeth
s37,happy1_1,1,851,861,875,37_0502funnyerrors
s37,happy1_2,2,1858,1868,0,37_0502funnyerrors
s37,happy3_1,1,414,423,0,37_0505funnyinnovations
s37,happy3_2,2,1167,1182,0,37_0505funnyinnovations
s37,happy3_3,3,1468,1490,1509,37_0505funnyinnovations
s37,happy3_4,4,1511,1526,1541,37_0505funnyinnovations
s37,happy3_5,5,1941,1963,1974,37_0505funnyinnovations
s37,happy3_6,6,2229,2242,2269,37_0505funnyinnovations
s37,happy4_1,1,846,861,0,37_0507climbingthewall
s37,happy4_2,2,1571,1587,1680,37_0507climbingthewall
s37,happy4_3,3,1751,1762,0,37_0507climbingthewall
s37,happy4_4,4,2020,2044,2074,37_0507climbingthewall
s37,happy4_5,5,2341,2357,2400,37_0507climbingthewall
s37,happy4_6,6,2688,2709,2752,37_0507climbingthewall
s37,happy5_1,1,233,244,255,37_0508funnydunkey
s37,happy5_2,2,322,333,0,37_0508funnydunkey
s37,happy5_3,3,418,423,430,37_0508funnydunkey
s38,happy1_1,1,329,342,0,38_0502funnyerrors
s38,happy1_2,2,878,888,922,38_0502funnyerrors
s38,happy1_3,3,962,968,981,38_0502funnyerrors
s38,happy1_4,4,1189,1197,0,38_0502funnyerrors
s38,happy1_5,5,1782,1800,1841,38_0502funnyerrors
s38,happy1_6,6,1869,1882,0,38_0502funnyerrors
s38,happy4_1,1,1242,1250,1263,38_0507climbingthewall
s38,happy4_2,2,1377,1390,1422,38_0507climbingthewall
s38,happy4_3,3,1664,1675,1703,38_0507climbingthewall
s38,happy4_4,4,1775,1790,1809,38_0507climbingthewall
s38,happy4_5,5,1870,1881,1911,38_0507climbingthewall
s38,happy4_6,6,2232,2239,2247,38_0507climbingthewall
s40,anger1_1,1,392,400,415,40_0401girlcrashing
s40,anger1_2,2,592,602,613,40_0401girlcrashing
s40,happy1_1,1,601,613,0,40_0502funnyerrors
s40,happy1_2,2,1598,1613,0,40_0502funnyerrors
s40,happy2_1,1,2692,2707,0,40_0503unnyfarting
