1,12, TN, Outside,4340,4393, TP,47
1849,1860, TN, Outside,4340,4393,,
1861,1872, TN, Outside,4340,4393,,
1873,1884, TP, Right Side,1872,1883,,
1885,1896, TN, Outside,4340,4393,,
1897,1908, TN, Outside,4340,4393,,
1909,1920, TN, Outside,4340,4393,,
1921,1932, TN, Outside,4340,4393,,
1933,1944, TN, Outside,4340,4393,,
1945,1956, TN, Outside,4340,4393,,
1957,1968, TN, Outside,4340,4393,,
1969,1980, TN, Outside,4340,4393,,
1981,1992, TP, Left Side,1983,1994,,
1993,2004, TN, Right Side,1983,1994,,
2005,2016, TN, Outside,4340,4393,,
2017,2028, TN, Outside,4340,4393,,
2029,2040, TN, Outside,4340,4393,,
2041,2052, TN, Outside,4340,4393,,
2053,2064, TN, Outside,4340,4393,,
2065,2076, TN, Left Side,2075,2104,,
2077,2088, TP, Inside,2075,2104,,
2089,2100, TP, Inside,2075,2104,,
2101,2112, FP, Right Side,2075,2104,,
2113,2124, TN, Outside,4340,4393,,
2125,2136, TN, Outside,4340,4393,,
2137,2148, TN, Outside,4340,4393,,
2149,2160, TN, Outside,4340,4393,,
2161,2172, TN, Outside,4340,4393,,
2173,2184, TN, Outside,4340,4393,,
2185,2196, TN, Outside,4340,4393,,
2197,2208, TN, Outside,4340,4393,,
2209,2220, TN, Outside,4340,4393,,
2221,2232, TN, Outside,4340,4393,,
2233,2244, TN, Outside,4340,4393,,
2245,2256, TN, Outside,4340,4393,,
2257,2268, TN, Outside,4340,4393,,
2269,2280, TN, Outside,4340,4393,,
2281,2292, TP, Inside,2280,2304,,
2293,2304, TP, Inside,2280,2304,,
2305,2316, TN, Outside,4340,4393,,
2317,2328, TN, Outside,4340,4393,,
2329,2340, TN, Outside,4340,4393,,
2341,2352, TN, Outside,4340,4393,,
2353,2364, TN, Outside,4340,4393,,
2365,2376, TN, Outside,4340,4393,,
2377,2388, TN, Outside,4340,4393,,
2389,2400, TN, Outside,4340,4393,,
2401,2412, TN, Outside,4340,4393,,
2413,2424, TN, Outside,4340,4393,,
2425,2436, TN, Outside,4340,4393,,
2437,2448, TN, Outside,4340,4393,,
2449,2460, TN, Outside,4340,4393,,
2461,2472, TN, Outside,4340,4393,,
2473,2484, TN, Outside,4340,4393,,
2485,2496, TN, Outside,4340,4393,,
2497,2508, TN, Outside,4340,4393,,
2509,2520, TP, Left Side,2512,2524,,
2521,2532, TN, Right Side,2512,2524,,
2533,2544, TN, Outside,4340,4393,,
2545,2556, TN, Outside,4340,4393,,
2557,2568, FP, Left Side,2562,2581,,
2569,2580, TP, Inside,2562,2581,,
2581,2592, TN, Outside,4340,4393,,
2593,2604, TN, Outside,4340,4393,,
2605,2616, TN, Outside,4340,4393,,
2617,2628, TN, Outside,4340,4393,,
2629,2640, TN, Outside,4340,4393,,
2641,2652, TN, Outside,4340,4393,,
2653,2664, TN, Outside,4340,4393,,
2665,2676, TN, Outside,4340,4393,,
2677,2688, TN, Outside,4340,4393,,
2689,2700, TN, Outside,4340,4393,,
2701,2712, TN, Outside,4340,4393,,
2713,2724, FP, Left Side,2717,2729,,
2725,2736, FP, Right Side,2717,2729,,
2737,2748, TN, Outside,4340,4393,,
2749,2760, TN, Outside,4340,4393,,
2761,2772, TN, Outside,4340,4393,,
2773,2784, TN, Outside,4340,4393,,
2785,2796, TN, Outside,4340,4393,,
2797,2808, TN, Outside,4340,4393,,
2809,2820, TN, Outside,4340,4393,,
2821,2832, TN, Outside,4340,4393,,
2833,2844, TP, Inside,2832,2851,,
2845,2856, FP, Right Side,2832,2851,,
2857,2868, TN, Outside,4340,4393,,
2869,2880, TN, Outside,4340,4393,,
2881,2892, TN, Outside,4340,4393,,
2893,2904, TN, Outside,4340,4393,,
2905,2916, TP, Left Side,2907,2938,,
2917,2928, TP, Inside,2907,2938,,
2929,2940, TP, Right Side,2907,2938,,
2941,2952, TN, Outside,4340,4393,,
2953,2964, TN, Outside,4340,4393,,
2965,2976, TN, Outside,4340,4393,,
2977,2988, TN, Outside,4340,4393,,
2989,3000, TN, Outside,4340,4393,,
3001,3012, TN, Outside,4340,4393,,
3013,3024, TP, Left Side,3015,3026,,
3025,3036, TN, Right Side,3015,3026,,
3037,3048, TN, Outside,4340,4393,,
3049,3060, TN, Outside,4340,4393,,
3061,3072, TN, Outside,4340,4393,,
3073,3084, TN, Outside,4340,4393,,
3085,3096, TN, Outside,4340,4393,,
3097,3108, TN, Left Side,3107,3118,,
3109,3120, TP, Right Side,3107,3118,,
3121,3132, TN, Outside,4340,4393,,
3133,3144, TN, Outside,4340,4393,,
3145,3156, TN, Outside,4340,4393,,
3157,3168, TN, Outside,4340,4393,,
3169,3180, TN, Outside,4340,4393,,
3181,3192, TN, Left Side,3191,3214,,
3193,3204, TP, Inside,3191,3214,,
3205,3216, TP, Right Side,3191,3214,,
3217,3228, TN, Outside,4340,4393,,
3229,3240, TN, Outside,4340,4393,,
3241,3252, TN, Outside,4340,4393,,
3253,3264, TN, Outside,4340,4393,,
3265,3276, TN, Outside,4340,4393,,
3277,3288, TN, Outside,4340,4393,,
3289,3300, TN, Outside,4340,4393,,
3301,3312, TN, Outside,4340,4393,,
3313,3324, TN, Outside,4340,4393,,
3325,3336, FP, Left Side,3329,3340,,
3337,3348, TN, Right Side,3329,3340,,
3349,3360, TN, Outside,4340,4393,,
3361,3372, TN, Outside,4340,4393,,
3373,3384, TN, Outside,4340,4393,,
3385,3396, TN, Outside,4340,4393,,
3397,3408, TP, Left Side,3399,3410,,
3409,3420, FP, Right Side,3399,3410,,
3421,3432, TN, Outside,4340,4393,,
3433,3444, TN, Outside,4340,4393,,
3445,3456, TN, Outside,4340,4393,,
3457,3468, TN, Outside,4340,4393,,
3469,3480, TN, Outside,4340,4393,,
3481,3492, FP, Left Side,3485,3501,,
3493,3504, TP, Right Side,3485,3501,,
3505,3516, TN, Outside,4340,4393,,
3517,3528, TN, Outside,4340,4393,,
3529,3540, TN, Outside,4340,4393,,
3541,3552, TN, Outside,4340,4393,,
3553,3564, TN, Outside,4340,4393,,
3565,3576, TN, Outside,4340,4393,,
3577,3588, TN, Outside,4340,4393,,
3589,3600, TN, Outside,4340,4393,,
3601,3612, TN, Left Side,3610,3629,,
3613,3624, TP, Inside,3610,3629,,
3625,3636, TN, Right Side,3610,3629,,
3637,3648, TN, Outside,4340,4393,,
3649,3660, TN, Outside,4340,4393,,
3661,3672, TN, Outside,4340,4393,,
3673,3684, TN, Outside,4340,4393,,
3685,3696, TN, Outside,4340,4393,,
3697,3708, TN, Outside,4340,4393,,
3709,3720, TN, Outside,4340,4393,,
3721,3732, TN, Outside,4340,4393,,
3733,3744, TN, Outside,4340,4393,,
3745,3756, TN, Outside,4340,4393,,
3757,3768, TN, Outside,4340,4393,,
3769,3780, TN, Outside,4340,4393,,
3781,3792, TN, Outside,4340,4393,,
3793,3804, FP, Left Side,3802,3822,,
3805,3816, TP, Inside,3802,3822,,
3817,3828, FP, Right Side,3802,3822,,
3829,3840, TN, Outside,4340,4393,,
3841,3852, TN, Outside,4340,4393,,
3853,3864, TN, Outside,4340,4393,,
3865,3876, TN, Outside,4340,4393,,
3877,3888, TN, Outside,4340,4393,,
3889,3900, TN, Outside,4340,4393,,
3901,3912, TN, Outside,4340,4393,,
3913,3924, TN, Outside,4340,4393,,
3925,3936, TN, Outside,4340,4393,,
3937,3948, FP, Left Side,3942,3955,,
3949,3960, FP, Right Side,3942,3955,,
3961,3972, TN, Outside,4340,4393,,
3973,3984, TN, Outside,4340,4393,,
3985,3996, TN, Outside,4340,4393,,
3997,4008, TN, Outside,4340,4393,,
4009,4020, TN, Outside,4340,4393,,
4021,4032, TN, Outside,4340,4393,,
4033,4044, TN, Outside,4340,4393,,
4045,4056, TN, Outside,4340,4393,,
4057,4068, TP, Right Side,4056,4067,,
4069,4080, TN, Outside,4340,4393,,
4081,4092, TN, Outside,4340,4393,,
4093,4104, TN, Outside,4340,4393,,
4105,4116, TN, Outside,4340,4393,,
4117,4128, TN, Outside,4340,4393,,
4129,4140, TN, Outside,4340,4393,,
4141,4152, TN, Outside,4340,4393,,
4153,4164, TN, Outside,4340,4393,,
4165,4176, TN, Outside,4340,4393,,
4177,4188, TN, Outside,4340,4393,,
4189,4200, TN, Outside,4340,4393,,
4201,4212, TN, Left Side,4210,4228,,
4213,4224, TP, Inside,4210,4228,,
4225,4236, FP, Right Side,4210,4228,,
4237,4248, TN, Outside,4340,4393,,
4249,4260, TN, Outside,4340,4393,,
4261,4272, TN, Outside,4340,4393,,
4273,4284, TN, Outside,4340,4393,,
4285,4296, TN, Outside,4340,4393,,
4297,4308, TN, Outside,4340,4393,,
4309,4320, TN, Outside,4340,4393,,
4321,4332, TN, Outside,4340,4393,,
4333,4344, FP, Left Side,4340,4393,,
4345,4356, TP, Inside,4340,4393,,
4357,4368, TP, Inside,4340,4393,,
4369,4380, TP, Inside,4340,4393,,
4381,4392, TP, Inside,4340,4393,,
