1,2,3,4,5,6,7,8,9,10,11,12,Label,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00153.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00154.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00155.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00156.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00157.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00158.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00159.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00160.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00161.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00162.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00163.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00164.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00165.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00166.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00167.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00168.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00169.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00170.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00171.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00172.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00173.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00174.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00175.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00176.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00177.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00178.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00179.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00180.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00181.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00182.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00183.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00184.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00185.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00186.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00187.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00188.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00189.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00190.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00191.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00192.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00193.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00194.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00195.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00196.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00197.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00198.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00199.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00200.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00201.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00202.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00203.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00204.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00205.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00206.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00207.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00208.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00209.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00210.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00211.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00212.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00213.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00214.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00215.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00216.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00217.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00218.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00219.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00220.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00221.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00222.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00223.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00224.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00230.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00231.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00232.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00233.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00234.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00235.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00236.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00237.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00238.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00239.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00240.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00241.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00244.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00245.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00246.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00247.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00248.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00249.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00250.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00251.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00252.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00253.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00254.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00255.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00256.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00257.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00258.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00259.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00260.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00261.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00262.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00263.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00264.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00265.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00266.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00267.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00270.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00271.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00272.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00273.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00274.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00275.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00276.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00277.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00278.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00279.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00280.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00281.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00282.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00283.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00284.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00285.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00286.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00287.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00288.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00289.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00290.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00291.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00292.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00293.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00297.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00298.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00299.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00300.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00301.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00302.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00303.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00304.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00305.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00306.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00307.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00308.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00309.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00310.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00311.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00312.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00313.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00314.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00315.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00316.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00317.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00318.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00319.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00320.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00321.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00322.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00323.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00324.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00325.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00326.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00327.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00328.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00329.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00330.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00331.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00332.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00333.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00334.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00335.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00336.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00337.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00338.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00339.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00340.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00341.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00342.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00343.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00344.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00345.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00346.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00347.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00348.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00349.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00350.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00351.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00352.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00353.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00354.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00355.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00356.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00361.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00362.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00363.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00364.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00365.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00366.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00367.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00368.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00369.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00370.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00371.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00372.jpg,1,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00373.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00374.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00375.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00376.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00377.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00378.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00379.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00380.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00381.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00382.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00383.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00384.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00385.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00386.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00387.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00388.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00389.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00390.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00391.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00392.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00393.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00394.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00395.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00396.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00397.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00398.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00399.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00400.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00401.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00402.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00403.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00404.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00405.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00406.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00407.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00408.jpg,4,,,
D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00415.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00416.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00417.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00418.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00419.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00420.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00421.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00422.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00423.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00424.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00425.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S1\img00426.jpg,1,,,
